#{"t_start": 1780877043.7068098, "env_id": "None"}
r,l,t
5080.5,197,227.079386
3643.0,201,227.730796
4944.0,188,228.330043
5710.0,142,228.77973
3442.5,201,229.499944
4174.0,201,230.295451
4398.5,201,231.02013
5713.0,185,231.671724
3670.0,201,232.356144
5096.5,163,232.901042
3959.0,178,233.483096
4252.0,201,234.141084
4850.5,200,234.773644
4824.5,171,235.355142
5844.5,143,235.862982
5161.5,166,236.4821
4011.0,201,237.348118
5060.0,174,238.118658
4718.0,201,238.90918
4950.0,194,239.616803
4944.0,195,240.309651
5371.5,137,240.806729
4839.5,154,241.416928
5076.0,152,241.954202
4829.0,180,242.599855
4685.0,193,243.300313
5136.0,190,243.917662
4997.5,183,244.532723
4788.5,201,245.204212
3765.5,201,246.016856
4325.0,201,246.778087
5373.5,157,247.241544
4246.5,201,247.809591
5470.5,186,248.35919
3502.5,195,249.040989
5400.0,177,249.657897
4424.0,169,250.228122
4358.0,196,250.931456
4927.0,197,251.624823
4814.0,192,252.400848
4947.0,161,252.90061
4851.0,201,253.485748
4411.5,185,254.03523
4282.0,183,254.57978
4838.5,161,255.052885
4919.0,194,255.610644
5472.5,165,256.096312
5928.5,145,256.512551
4856.0,147,257.059641
5378.5,143,257.560369
2504.0,201,258.251845
5436.0,157,258.770938
5374.5,201,259.474883
5034.0,166,260.013776
4639.5,192,260.550034
3743.5,201,261.131114
3935.0,199,261.721345
3622.0,195,262.327663
4548.5,201,262.934521
4719.0,162,263.472726
4684.0,176,264.064301
5143.0,194,264.698195
4508.0,172,265.249163
5387.5,194,265.896945
4510.0,188,266.53122
5191.0,152,266.984515
4707.0,154,267.508648
3077.0,201,268.100032
5986.0,149,268.627349
4929.5,201,269.331106
4658.5,178,270.071747
4605.0,201,270.903155
5209.5,161,271.493115
4694.5,161,272.166784
5390.5,157,272.705118
4724.0,173,273.300958
4848.5,162,273.864851
5433.5,161,274.437929
5223.0,166,275.052761
5161.5,179,275.641785
5027.0,160,276.16697
1254.5,201,276.831021
4514.5,198,277.530207
4759.5,164,278.095841
5103.0,162,278.678752
5030.0,174,279.25252
4015.0,201,279.935825
5069.5,195,280.656759
4581.5,194,281.320135
4532.5,175,281.899804
3285.0,201,282.590969
5020.5,166,283.306996
5164.5,188,284.012415
4523.5,201,284.714935
4474.5,182,285.32507
4440.0,191,285.974405
5042.5,169,286.518375
4601.5,193,287.199488
5630.5,153,287.776582
4814.5,201,288.507646
5024.0,168,289.116279
5403.0,172,289.731369
4919.5,189,290.334135
5047.0,171,290.926011
5273.0,151,291.528234
5822.0,151,292.109429
5804.5,162,292.722755
4418.0,181,293.367132
4774.5,197,293.983539
5170.0,171,294.49233
5016.5,175,295.021132
4578.5,173,295.556303
5442.5,146,295.985935
4446.0,173,296.527104
4862.0,184,297.128038
5212.0,148,297.629813
5497.0,160,298.155755
4951.5,154,298.681681
4485.0,158,299.203166
4487.0,182,299.794682
5595.0,165,300.349552
5273.5,155,300.826923
4596.0,199,301.436349
5382.5,177,302.027889
5554.5,171,302.591655
4483.0,191,303.225355
4604.5,163,303.736126
5161.0,187,304.34535
4801.5,153,304.870996
5541.0,137,305.364292
3821.5,201,306.040997
4620.5,166,306.580751
6213.0,137,307.059382
5155.5,154,307.549346
4149.0,193,308.182462
6190.0,136,308.608627
5760.0,164,309.140399
6036.0,164,309.647734
5305.5,140,310.110719
5291.5,175,310.72671
4977.0,161,311.314405
5032.5,166,311.920859
5800.0,143,312.404436
5652.0,144,312.839127
5156.5,152,313.325551
5315.5,117,313.706763
4884.0,165,314.229257
5608.5,141,314.686295
5415.5,201,315.31254
6685.0,140,315.760181
4634.0,152,316.2856
4819.0,153,316.759939
4821.0,180,317.356108
4874.0,148,317.852481
4875.5,190,318.546196
5449.0,162,319.0988
5892.5,134,319.509988
5129.5,169,320.051445
5365.5,173,320.578784
5360.5,157,321.076922
4898.0,201,321.698637
4983.0,201,322.30225
4796.0,177,322.852369
5058.0,147,323.376346
5492.5,155,324.110622
4747.5,153,324.795177
5125.5,160,325.566831
4588.0,169,326.233924
4221.0,173,326.80564
5269.5,151,327.35988
5437.0,137,327.837333
5115.0,155,328.39886
5187.0,135,328.848806
5034.5,156,329.395094
5199.5,201,330.128175
4951.0,177,330.743609
4610.0,198,331.515814
5534.0,157,332.115348
5441.5,148,332.724938
5234.0,199,333.485832
5335.0,158,334.025298
4740.0,188,334.747113
5248.0,162,335.372678
6027.5,130,335.84095
4871.5,176,336.458196
6419.0,139,336.95928
5561.0,169,337.52422
4943.5,159,338.082292
5684.5,139,338.666535
5114.0,166,339.26616
5126.0,155,339.811756
6307.5,143,340.345145
4739.0,163,340.960564
5266.5,157,341.48939
4779.5,185,342.132812
5533.0,159,342.672597
5216.0,164,343.171197
2878.0,201,343.829041
4095.0,201,344.502356
5430.5,152,344.985101
4885.5,168,345.549386
5881.5,147,346.043119
5209.5,181,346.637853
5678.0,158,347.166667
6004.0,146,347.653265
5412.0,149,348.146926
5346.0,140,348.606568
5709.0,161,349.097072
5303.0,157,349.562374
5072.0,193,350.171218
5176.5,178,350.730329
5178.5,165,351.237667
4588.5,177,351.836196
4859.5,165,352.430473
5131.5,174,352.98876
4352.0,178,353.572697
4720.0,157,354.062742
5040.5,193,354.672175
